sale_id,salesperson,region,category,quantity,unit_price,sale_date,discount,revenue,net_price,sale_month,sale_quarter
50.0,Charlie,North,Electronics,20.0,454.47,2024-12-07,0.19,9089.4,368.12,12.0,4.0
51.0,Diana,South,Electronics,44.0,64.92,2024-01-12,0.26,2856.48,48.04,1.0,1.0
52.0,Bob,North,Food,32.0,480.59,2024-08-23,0.07,15378.88,446.95,8.0,3.0
53.0,Eve,East,Books,47.0,164.54,2024-02-09,0.1,7733.38,148.09,2.0,1.0
54.0,Alice,East,Electronics,21.0,110.0,2024-06-09,0.28,2310.0,79.2,6.0,2.0
55.0,Alice,West,Electronics,27.0,380.29,2024-11-23,0.32,10267.83,258.6,11.0,4.0
56.0,Diana,South,Electronics,43.0,239.26,2024-07-24,0.14,10288.18,205.76,7.0,3.0
57.0,Eve,North,Clothing,13.0,372.73,2024-12-06,0.3,4845.49,260.91,12.0,4.0
58.0,Eve,South,Food,15.0,154.62,2024-03-09,0.19,2319.3,125.24,3.0,1.0
59.0,Eve,East,Electronics,32.0,11.07,2024-08-15,0.39,354.24,6.75,8.0,3.0
60.0,Bob,South,Food,32.0,316.58,2024-03-26,0.12,10130.56,278.59,3.0,1.0
61.0,Bob,South,Electronics,40.0,263.67,2024-08-10,0.4,10546.8,158.2,8.0,3.0
62.0,Alice,South,Food,14.0,45.19,2024-09-03,0.16,632.66,37.96,9.0,3.0
63.0,Bob,North,Electronics,46.0,430.51,2024-04-09,0.25,19803.46,322.88,4.0,2.0
64.0,Diana,South,Electronics,42.0,136.49,2024-01-06,0.24,5732.58,103.73,1.0,1.0
65.0,Eve,East,Electronics,20.0,471.62,2024-08-15,0.19,9432.4,382.01,8.0,3.0
66.0,Alice,East,Electronics,6.0,338.78,2024-10-01,0.27,2032.68,247.31,10.0,4.0
67.0,Alice,East,Books,29.0,94.84,2024-11-27,0.04,2750.36,91.05,11.0,4.0
68.0,Bob,East,Electronics,11.0,348.37,2024-07-27,0.01,3832.07,344.89,7.0,3.0
69.0,Eve,East,Electronics,26.0,413.34,,0.02,10746.84,405.07,,
70.0,Bob,East,Food,18.0,464.2,2024-12-16,0.39,8355.6,283.16,12.0,4.0
71.0,Diana,East,Food,36.0,116.23,2024-02-15,0.26,4184.28,86.01,2.0,1.0
72.0,Eve,North,Books,31.0,277.88,2024-10-17,0.05,8614.28,263.99,10.0,4.0
73.0,Alice,East,Food,1.0,152.79,2024-11-16,0.18,152.79,125.29,11.0,4.0
74.0,Bob,South,Books,13.0,123.21,2024-07-02,0.19,1601.73,99.8,7.0,3.0
75.0,Alice,South,Electronics,42.0,250.19,,0.13,10507.98,217.67,,
76.0,Bob,South,Electronics,1.0,207.94,2024-03-03,0.39,207.94,126.84,3.0,1.0
77.0,Alice,South,Food,44.0,193.1,2024-12-25,0.22,8496.4,150.62,12.0,4.0
78.0,Diana,North,Clothing,28.0,381.38,2024-02-15,0.12,10678.64,335.61,2.0,1.0
79.0,Bob,North,Food,28.0,267.93,2024-03-06,0.24,7502.04,203.63,3.0,1.0
80.0,Diana,East,Electronics,30.0,232.49,2024-08-10,0.06,6974.7,218.54,8.0,3.0
81.0,Bob,North,Electronics,45.0,423.43,2024-07-28,0.09,19054.35,385.32,7.0,3.0
82.0,Eve,North,Electronics,43.0,9.01,2024-12-02,0.3,387.43,6.31,12.0,4.0
83.0,Eve,West,Electronics,15.0,312.34,2024-12-25,0.34,4685.1,206.14,12.0,4.0
84.0,Alice,North,Food,38.0,70.05,2024-06-24,0.08,2661.9,64.45,6.0,2.0
85.0,Bob,North,Food,31.0,151.1,2024-02-15,0.06,4684.1,142.03,2.0,1.0
86.0,Alice,East,Electronics,1.0,66.18,2024-12-22,0.15,66.18,56.25,12.0,4.0
87.0,Bob,South,Electronics,2.0,471.87,2024-10-08,0.25,943.74,353.9,10.0,4.0
88.0,Eve,South,Electronics,3.0,248.85,2024-09-05,0.15,746.55,211.52,9.0,3.0
89.0,Alice,East,Books,32.0,469.83,2024-12-12,0.18,15034.56,385.26,12.0,4.0
90.0,Bob,South,Electronics,42.0,202.08,2024-02-28,0.04,8487.36,194.0,2.0,1.0
91.0,Alice,North,Food,9.0,106.58,2024-09-07,0.33,959.22,71.41,9.0,3.0
92.0,Charlie,North,Food,10.0,272.41,2024-02-22,0.05,2724.1,258.79,2.0,1.0
93.0,Diana,East,Electronics,4.0,213.38,2024-02-16,0.14,853.52,183.51,2.0,1.0
94.0,Bob,West,Electronics,27.0,434.16,2024-08-21,0.02,11722.32,425.48,8.0,3.0
95.0,Alice,South,Electronics,46.0,41.38,2024-10-05,0.19,1903.48,33.52,10.0,4.0
96.0,Bob,South,Electronics,30.0,217.95,2024-02-28,0.35,6538.5,141.67,2.0,1.0
97.0,Diana,South,Books,27.0,229.48,2024-02-11,0.27,6195.96,167.52,2.0,1.0
98.0,Charlie,East,Electronics,6.0,52.8,2024-03-18,0.19,316.8,42.77,3.0,1.0
99.0,Bob,South,Books,43.0,214.35,2024-01-10,0.14,9217.05,184.34,1.0,1.0
100.0,Diana,East,Electronics,7.0,280.35,2024-05-19,0.17,1962.45,232.69,5.0,2.0
101.0,Alice,North,Electronics,45.0,461.16,2024-03-28,0.26,20752.2,341.26,3.0,1.0
102.0,Alice,South,Electronics,25.0,173.74,2024-12-11,0.23,4343.5,133.78,12.0,4.0
103.0,Alice,East,Clothing,4.0,139.69,2024-08-20,0.11,558.76,124.32,8.0,3.0
104.0,Bob,East,Books,44.0,245.88,2024-01-08,0.24,10818.72,186.87,1.0,1.0
100.0,Eve,West,Food,17.0,64.39,2024-07-06,0.21,1094.63,50.87,7.0,3.0
106.0,Bob,South,Books,3.0,232.58,2024-06-19,0.16,697.74,195.37,6.0,2.0
107.0,Eve,South,Books,27.0,401.65,2024-12-12,0.19,10844.55,325.34,12.0,4.0
108.0,Diana,South,Electronics,6.0,158.59,2024-06-25,0.2,951.54,126.87,6.0,2.0
109.0,Diana,East,Food,42.0,121.95,2024-04-06,0.3,5121.9,85.36,4.0,2.0
110.0,Charlie,East,Books,49.0,342.16,2024-11-21,0.13,16765.84,297.68,11.0,4.0
111.0,Bob,East,Books,29.0,399.18,2024-06-17,0.19,11576.22,323.34,6.0,2.0
112.0,Alice,North,Food,5.0,488.8,2024-10-17,0.23,2444.0,376.38,10.0,4.0
113.0,Alice,East,Food,13.0,240.44,2024-01-15,0.36,3125.72,153.88,1.0,1.0
114.0,Bob,East,Electronics,29.0,264.41,2024-06-12,0.15,7667.89,224.75,6.0,2.0
115.0,Alice,East,Electronics,36.0,145.65,2024-11-20,0.13,5243.4,126.72,11.0,4.0
116.0,Charlie,East,Food,45.0,68.83,2024-02-10,0.26,3097.35,50.93,2.0,1.0
117.0,Charlie,South,Electronics,33.0,184.49,2024-04-11,0.19,6088.17,149.44,4.0,2.0
118.0,Charlie,East,Electronics,7.0,272.19,2024-09-02,0.35,1905.33,176.92,9.0,3.0
119.0,Alice,East,Clothing,45.0,405.48,2024-08-02,0.27,18246.6,296.0,8.0,3.0
120.0,Bob,North,Food,29.0,123.39,2024-08-27,0.27,3578.31,90.07,8.0,3.0
121.0,Bob,East,Food,25.0,212.24,2024-04-26,0.35,5306.0,137.96,4.0,2.0
122.0,Bob,East,Electronics,46.0,426.33,2024-03-09,0.21,19611.18,336.8,3.0,1.0
123.0,Bob,West,Food,23.0,210.37,2024-06-08,0.03,4838.51,204.06,6.0,2.0
124.0,Bob,South,Food,22.0,73.11,2024-08-23,0.3,1608.42,51.18,8.0,3.0
125.0,Alice,South,Electronics,10.0,364.98,2024-02-25,0.12,3649.8,321.18,2.0,1.0
126.0,Alice,East,Electronics,32.0,13.14,2024-04-23,0.17,420.48,10.91,4.0,2.0
127.0,Diana,South,Clothing,6.0,183.5,2024-09-17,0.2,1101.0,146.8,9.0,3.0
128.0,Bob,North,Electronics,24.0,13.04,2024-06-08,0.25,312.96,9.78,6.0,2.0
129.0,Bob,East,Electronics,22.0,91.67,2024-08-23,0.07,2016.74,85.25,8.0,3.0
130.0,Bob,North,Food,13.0,161.22,2024-07-27,0.1,2095.86,145.1,7.0,3.0
131.0,Diana,North,Food,4.0,169.3,2024-06-14,0.3,677.2,118.51,6.0,2.0
132.0,Alice,East,Clothing,32.0,399.66,2024-02-24,0.17,12789.12,331.72,2.0,1.0
133.0,Charlie,North,Food,21.0,156.72,2024-07-06,0.14,3291.12,134.78,7.0,3.0
134.0,Bob,South,Food,4.0,320.57,2024-12-22,0.01,1282.28,317.36,12.0,4.0
135.0,Bob,North,Clothing,50.0,184.26,2024-01-20,0.18,9213.0,151.09,1.0,1.0
136.0,Bob,South,Electronics,24.0,326.53,2024-02-01,0.2,7836.72,261.22,2.0,1.0
137.0,Bob,North,Food,29.0,307.88,2024-08-07,0.34,8928.52,203.2,8.0,3.0
138.0,Bob,South,Food,21.0,356.22,2024-05-10,0.28,7480.62,256.48,5.0,2.0
139.0,Charlie,East,Electronics,13.0,122.18,2024-06-18,0.19,1588.34,98.97,6.0,2.0
140.0,Charlie,South,Electronics,46.0,265.22,2024-10-03,0.13,12200.12,230.74,10.0,4.0
141.0,Bob,East,Clothing,50.0,295.95,2024-03-14,0.35,14797.5,192.37,3.0,1.0
142.0,Charlie,North,Clothing,46.0,474.0,2024-05-28,0.19,21804.0,383.94,5.0,2.0
143.0,Eve,East,Electronics,35.0,322.29,2024-10-05,0.25,11280.15,241.72,10.0,4.0
144.0,Bob,North,Food,6.0,232.53500000000003,2024-10-09,0.31,1395.21,160.45,10.0,4.0
145.0,Alice,East,Electronics,42.0,244.06,2024-11-13,0.03,10250.52,236.74,11.0,4.0
146.0,Bob,South,Books,22.0,159.73,2024-12-28,0.16,3514.06,134.17,12.0,4.0
147.0,Bob,East,Clothing,18.0,74.73,2024-07-28,0.1,1345.14,67.26,7.0,3.0
148.0,Charlie,East,Electronics,13.0,251.64,2024-08-10,0.04,3271.32,241.57,8.0,3.0
149.0,Bob,West,Clothing,4.0,249.97,2024-11-22,0.21,999.88,197.48,11.0,4.0
150.0,Alice,East,Food,49.0,27.39,2024-09-07,0.12,1342.11,24.1,9.0,3.0
151.0,Bob,North,Food,44.0,68.69,2024-06-26,0.22,3022.36,53.58,6.0,2.0
152.0,Charlie,West,Electronics,33.0,232.53500000000003,,0.19,7673.66,188.35,,
153.0,Charlie,East,Electronics,26.0,370.96,2024-06-17,0.21,9644.96,293.06,6.0,2.0
154.0,Eve,East,Food,27.0,59.25,2024-05-26,0.35,1599.75,38.51,5.0,2.0
155.0,Bob,North,Electronics,50.0,117.63,2024-08-06,0.29,5881.5,83.52,8.0,3.0
156.0,Alice,East,Food,3.0,351.76,2024-08-11,0.17,1055.28,291.96,8.0,3.0
157.0,Bob,North,Electronics,14.0,499.07,2024-07-11,0.18,6986.98,409.24,7.0,3.0
158.0,Bob,North,Electronics,16.0,152.76,2024-05-25,0.08,2444.16,140.54,5.0,2.0
159.0,Bob,East,Food,47.0,65.33,2024-07-13,0.38,3070.51,40.5,7.0,3.0
160.0,Eve,North,Food,6.0,223.98,2024-08-07,0.22,1343.88,174.7,8.0,3.0
161.0,Eve,East,Electronics,38.0,30.13,2024-04-21,0.04,1144.94,28.92,4.0,2.0
162.0,Bob,South,Electronics,1.0,489.07,2024-11-16,0.08,489.07,449.94,11.0,4.0
163.0,Bob,North,Electronics,50.0,289.2,2024-12-28,0.37,14460.0,182.2,12.0,4.0
164.0,Charlie,North,Food,32.0,375.76,2024-05-02,0.19,12024.32,304.37,5.0,2.0
165.0,Bob,East,Food,42.0,249.49,2024-09-15,0.32,10478.58,169.65,9.0,3.0
166.0,Bob,North,Electronics,48.0,151.04,2024-04-06,0.26,7249.92,111.77,4.0,2.0
167.0,Alice,East,Electronics,7.0,74.6,2024-04-01,0.09,522.2,67.89,4.0,2.0
168.0,Bob,North,Electronics,1.0,182.98,2024-11-04,0.06,182.98,172.0,11.0,4.0
169.0,Eve,South,Electronics,19.0,114.32,2024-08-05,0.4,2172.08,68.59,8.0,3.0
170.0,Bob,West,Food,49.0,394.75,2024-09-23,0.37,19342.75,248.69,9.0,3.0
171.0,Diana,East,Clothing,34.0,341.75,2024-08-03,0.18,11619.5,280.24,8.0,3.0
172.0,Charlie,South,Books,36.0,404.42,2024-07-09,0.3,14559.12,283.09,7.0,3.0
173.0,Alice,South,Food,35.0,467.62,2024-08-02,0.07,16366.7,434.89,8.0,3.0
174.0,Alice,East,Books,25.0,342.95,2024-09-05,0.14,8573.75,294.94,9.0,3.0
175.0,Alice,East,Electronics,1.0,489.35,2024-12-18,0.15,489.35,415.95,12.0,4.0
176.0,Bob,East,Clothing,47.0,20.95,2024-10-25,0.36,984.65,13.41,10.0,4.0
177.0,Bob,South,Electronics,27.0,353.13,2024-12-02,0.09,9534.51,321.35,12.0,4.0
178.0,Alice,East,Electronics,15.0,367.1,2024-10-25,0.13,5506.5,319.38,10.0,4.0
179.0,Charlie,West,Books,4.0,297.88,2024-03-21,0.22,1191.52,232.35,3.0,1.0
180.0,Bob,South,Food,45.0,78.86,2024-09-16,0.09,3548.7,71.76,9.0,3.0
181.0,Charlie,East,Electronics,27.0,71.38,2024-04-11,0.37,1927.26,44.97,4.0,2.0
182.0,Bob,West,Electronics,44.0,24.58,2024-10-24,0.09,1081.52,22.37,10.0,4.0
183.0,Bob,North,Electronics,13.0,63.07,2024-08-08,0.28,819.91,45.41,8.0,3.0
184.0,Diana,East,Food,30.0,182.83,2024-09-16,0.32,5484.9,124.32,9.0,3.0
185.0,Bob,West,Food,3.0,114.53,2024-05-18,0.23,343.59,88.19,5.0,2.0
186.0,Charlie,West,Food,37.0,252.15,2024-11-11,0.33,9329.55,168.94,11.0,4.0
187.0,Bob,East,Clothing,23.0,361.56,2024-09-21,0.21,8315.88,285.63,9.0,3.0
188.0,Bob,North,Food,27.0,317.2,2024-03-01,0.18,8564.4,260.1,3.0,1.0
189.0,Bob,East,Electronics,27.0,10.87,2024-05-18,0.01,293.49,10.76,5.0,2.0
190.0,Alice,East,Electronics,34.0,100.01,2024-06-09,0.03,3400.34,97.01,6.0,2.0
191.0,Bob,West,Electronics,44.0,44.91,2024-11-25,0.19,1976.04,36.38,11.0,4.0
192.0,Alice,East,Electronics,45.0,252.43,2024-06-19,0.39,11359.35,153.98,6.0,2.0
193.0,Alice,West,Clothing,45.0,240.37,2024-02-22,0.36,10816.65,153.84,2.0,1.0
194.0,Alice,East,Food,14.0,377.37,2024-07-03,0.23,5283.18,290.57,7.0,3.0
195.0,Alice,East,Books,9.0,346.21,2024-12-12,0.19,3115.89,280.43,12.0,4.0
196.0,Bob,East,Electronics,39.0,387.91,,0.18,15128.49,318.09,,
197.0,Alice,South,Clothing,43.0,387.22,2024-04-23,0.19,16650.46,313.65,4.0,2.0
198.0,Alice,East,Electronics,24.0,7.57,2024-06-25,0.05,181.68,7.19,6.0,2.0
199.0,Bob,South,Electronics,27.0,51.07,2024-06-28,0.12,1378.89,44.94,6.0,2.0
200.0,Bob,West,Electronics,44.0,73.73,2024-08-05,0.19,3244.12,59.72,8.0,3.0
